注文時刻,注文内容,年代,お住まいの地域,"所属(学校名または会社名)
 ※所属が無い方は「無し」とご記入ください。",属性（最も当てはまるものを一つ選択してください）,イベントを知ったきっかけ,Club 2026に期待することをご選択ください。
2026-02-27T12:06:58+09:00,社会人【アフターパーティー有】_1,40代,愛知県,無し,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-02-27T12:20:14+09:00,社会人【アフターパーティー有】_1,30代,愛知県,名古屋眼鏡株式会社,社会人,スタッフからの紹介,"参加者との交流,新しい知識や価値観の習得"
2026-02-27T12:22:55+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,無し,中学生以下,Club ホームページ・メール,登壇者によるトークセッション
2026-02-27T14:24:30+09:00,社会人【アフターパーティー有】_1,60代以上,愛知県,TEDxAnjo 細田塾,社会人,Club Instagram,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-02-27T14:31:54+09:00,社会人【アフターパーティー有】_1,40代,愛知県,無し,社会人,その他,"登壇者によるトークセッション,ワークショップ,アフターパーティー"
2026-02-27T17:42:48+09:00,社会人【アフターパーティー有】_1,30代,愛知県,東海旅客鉄道株式会社,社会人,"Club ホームページ・メール,Club Instagram,Club Facebook,スタッフからの紹介,登壇者・出展者からの紹介","登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-02-27T18:50:39+09:00,大学生・大学院生【アフターパーティー有】_1,20代,東京都,TEDxSophia U,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-02-27T21:58:34+09:00,大学生・大学院生【アフターパーティー有】_1,20代,北海道,TEDxSophia U /札幌医科大学,大学生・大学院生,"Club ホームページ・メール,Club Instagram,Club Facebook,スタッフからの紹介","登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-02-28T01:41:24+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,東海高校,高校生,"Club ホームページ・メール,Club Instagram,スタッフからの紹介,登壇者・出展者からの紹介","登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-02-28T12:56:13+09:00,社会人【アフターパーティー有】_1,20代,大阪府,株式会社オロ、TEDxKobe,社会人,"Club ホームページ・メール,Club Instagram","登壇者によるトークセッション,ワークショップ,参加者との交流,新しい知識や価値観の習得"
2026-02-28T21:24:50+09:00,社会人【アフターパーティー有】_1,20代,神奈川県,税理士法人TOTAL,社会人,その他,新しい知識や価値観の習得
2026-02-28T21:26:08+09:00,社会人【アフターパーティー有】_1,20代,東京都,KDDI株式会社,社会人,Club Instagram,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-01T11:31:50+09:00,社会人【アフターパーティー有】_1,40代,愛知県,株式会社デンソー,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-02T08:21:42+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,南山大学,大学生・大学院生,Club Instagram,"ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-02T21:58:57+09:00,大学生・大学院生【アフターパーティー有】_1,20代,神奈川県,上智大学,大学生・大学院生,Club Instagram,登壇者によるトークセッション
2026-03-02T22:01:46+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,放送大学,大学生・大学院生,Club ホームページ・メール,"登壇者によるトークセッション,アフターパーティー,新しい知識や価値観の習得"
2026-03-04T08:22:02+09:00,社会人【アフターパーティー有】_1,50代,大阪府,社会医療法人愛仁会,社会人,Club以外の各種SNS媒体,"登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-03-04T19:27:24+09:00,社会人【アフターパーティー有】_1,20代,愛知県,兼房株式会社,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-03-05T11:54:11+09:00,社会人【アフターパーティー無】_1,40代,愛知県,GoDoNe,社会人,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ブレイク)"
2026-03-06T21:09:33+09:00,社会人【アフターパーティー有】_1,20代,愛知県,なし,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-03-07T17:05:30+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,名古屋南高校,高校生,Club Instagram,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-07T23:11:01+09:00,大学生・大学院生【アフターパーティー有】_1,10代,東京都,上智大学,大学生・大学院生,Club Instagram,"登壇者によるトークセッション,ワークショップ,参加者との交流"
2026-03-09T16:54:21+09:00,高校生以下【アフターパーティー有】_1,10代,愛知県,星城高校,高校生,その他,ワークショップ
2026-03-09T17:57:16+09:00,社会人【アフターパーティー無】_1,20代,愛知県,朝日インテック,社会人,Club ホームページ・メール,"登壇者によるトークセッション,ワークショップ"
2026-03-09T18:30:47+09:00,高校生以下【アフターパーティー無】_1,10代,愛知県,愛知県立旭丘高等学校,高校生,"スタッフからの紹介,所属校・会社からの紹介","登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得"
2026-03-12T23:17:33+09:00,社会人【アフターパーティー有】_1,50代,愛知県,中部テレコミュニケーション株式会社,社会人,Club ホームページ・メール,"登壇者によるトークセッション,参加者との交流"
2026-03-15T14:52:47+09:00,社会人【アフターパーティー有】_1,40代,愛知県,トヨタ自動車株式会社,社会人,"Club以外の各種SNS媒体,スタッフからの紹介","アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-15T19:53:09+09:00,社会人【アフターパーティー有】_1,30代,愛知県,株式会社エンパワーゲート,社会人,Club X,参加者との交流
2026-03-19T07:19:37+09:00,社会人【アフターパーティー無】_1,20代,愛知県,無し　free-lancer,社会人,Club ホームページ・メール,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-19T15:45:07+09:00,大学生・大学院生【アフターパーティー有】_1,10代,京都府,京都大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-03-19T15:50:12+09:00,大学生・大学院生【アフターパーティー有】_1,20代,愛知県,名古屋大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-03-19T22:15:16+09:00,大学生・大学院生【アフターパーティー有】_1,20代,岐阜県,名古屋市立大学,大学生・大学院生,スタッフからの紹介,登壇者によるトークセッション
2026-03-20T07:27:44+09:00,社会人【アフターパーティー無】_1,50代,愛知県,椙山女学園高校,社会人,Club ホームページ・メール,登壇者によるトークセッション
2026-03-20T21:21:34+09:00,大学生・大学院生【アフターパーティー有】_1,10代,愛知県,南山大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,参加者との交流"
2026-03-21T23:36:44+09:00,大学生・大学院生【アフターパーティー無】_1,20代,静岡県,愛知学院大学,大学生・大学院生,スタッフからの紹介,新しい知識や価値観の習得
2026-03-22T19:11:15+09:00,社会人【アフターパーティー有】_1,30代,愛知県,名古屋市市役所,社会人,その他,"登壇者によるトークセッション,新しい知識や価値観の習得"
2026-03-22T22:37:43+09:00,社会人【アフターパーティー有】_1,20代,愛知県,無し,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-23T15:12:29+09:00,大学生・大学院生【アフターパーティー有】_1,10代,三重県,三重大学,大学生・大学院生,スタッフからの紹介,"登壇者によるトークセッション,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
2026-03-24T19:44:27+09:00,社会人【アフターパーティー有】_1,40代,愛知県,自由民主党,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,ディスカバリーセッション(ブレイク),ディスカバリーセッション(ストリーム),アフターパーティー"
2026-03-24T20:37:37+09:00,社会人【アフターパーティー有】_1,20代,愛知県,トヨタ自動車株式会社,社会人,スタッフからの紹介,登壇者によるトークセッション
2026-03-24T22:42:13+09:00,社会人【アフターパーティー有】_1,50代,愛知県,株式会社デンソー,社会人,スタッフからの紹介,"登壇者によるトークセッション,ワークショップ,アフターパーティー,参加者との交流,新しい知識や価値観の習得"
