注文ID,注文時刻,注文内容,イベントID,イベントタイトル,チケットNo.,年代,"フリーフォーム1 所属(学校名または会社名)
 
 ※所属が無い方は「無し」とご記入ください。",オプション1 イベントを知ったきっかけ,オプション2 Club 2025に期待することをご選択ください。,オプション3 属性(最も当てはまるもの一つを選択してください),,
0214ANhGFSBVX,2025-03-01T10:59:38+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-1,10代,,Club Instagram,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),新しい知識や価値観の習得",,,
0214APIIKBTP4,2025-03-01T22:15:10+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-1,20代,,登壇者・出展者からの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",,,
0214APKENRP27,2025-03-01T22:51:49+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-1,20代,,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,参加者との交流,新しい知識や価値観の習得",,,
0214AT6998CS9,2025-03-03T13:58:56+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-2,30代,グロービス経営大学院,その他,参加者との交流,大学生大学院生,,
0214ATB1AB513,2025-03-03T15:30:45+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-3,20代,名古屋工業大学,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214ATT8QRhEN,2025-03-03T20:43:18+09:00,高校生以下【AP有り】_1,027nafamkb741,Club 2025,B-2,10代,愛知工業大学名電高等学校,スタッフからの紹介,"登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",高校生,,
0214ATUQCUWhR,2025-03-03T21:11:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-4,20代,名古屋大学(or ASC),"Club Instagram,Club X,所属校・会社からの紹介,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,新しい知識や価値観の習得",大学生大学院生,,
0214AU1J6GUWX,2025-03-03T23:23:23+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-2,50代,西日本シティ銀行,"Club Instagram,スタッフからの紹介","登壇者によるトークセッション,新しい知識や価値観の習得",社会人,,
0214AU2GDCIhW,2025-03-03T23:41:12+09:00,社会人【AP無し】_1,027nafamkb741,Club 2025,E-3,50代,新生テクノス（株）,スタッフからの紹介,登壇者によるトークセッション,社会人,,
0214AV0W37ShK,2025-03-04T10:05:26+09:00,大学生・大学院生【AP有り】_1,027nafamkb741,Club 2025,D-5,10代,名城大学,"Club Instagram,所属校・会社からの紹介,スタッフからの紹介","登壇者によるトークセッション,ディスカバリーセッション(ワークショップ),ディスカバリーセッション(ブレイク),アフターパーティー,参加者との交流,新しい知識や価値観の習得",大学生大学院生,,
0214AV1W9FGI8,2025-03-04T10:24:48+09:00,社会人【AP有り】_1,027nafamkb741,Club 2025,G-2,50代,摂南大学,Club ホームページ,新しい知識や価値観の習得,社会人,,
